4,3,Li,0.0,2-, 25.3231,6.03 MeV, p : 100.00 % ,,2.290E+4 21,2.188E+4 21,1.14E+4 20,7.0E+2 23,3.08E+3 21,,,1.15E+3 5,-4.72E+3 5,5.1E+3 10,-3.10E+3 21,320,,
3,2,He,0.0,1/2+, 14.9312,STABLE,0.000134% 3 ,-1.37E+4 20,-18.592,-1040.59,,,,,,2572.68,-2125.0976,,5493.47,,,
2,1,H,0.0,1+, 13.1357,STABLE,0.0115% 70 ,,,,2224.57,,,,,1112.283,,2016.332,2224.57,,,
6,4,Be,0.0,0+, 18.3750,92 keV 6 , α : 100.00 %  p : 100.00 % ,-2.89E+4 20,4288 5,3266 5,2.68E+4 20,783 5,-145 21,,,4487.2 9,-1128.0 9,8.1E+3 10,5.9E+2 5,1670 50,1670 50,
5,3,Li,0.0,3/2-, 11.6788,≈ 1.5 MeV, p : 100.00 %  α : 100.00 % ,-2.55E+4 20,4.5E+2 5,-5.7E+2 5,2.172E+4 22,-2.121E+4 10,-2.023E+4 11,,,5266 10,-1387 10,8.03E+3 11,-1.96E+3 5,,,
4,2,He,0.0,0+, 2.4249,STABLE,99.999866% 3 ,-2.290E+4 21,-2.220E+4 10,-2.322E+4 10,20577.619,,,-3.43E+4 20,,7073.915,-1213.517,10656 10,19813.859,20210,27420,
3,1,H,0.0,1/2+, 14.9498,12.32 y 2 , β- : 100.00 % ,18.592,,,6257.23,,,,,2827.265,,3.93E+3 5,,,,
9,6,C,0.0,(3/2-), 28.9109,126.5 ms 9 , ε : 100.00 %  εp : 61.60 %  εα : 38.40 % ,,16494.5 23,15472.5 23,14225 18,17562.5 21,16680.3 21,,,4337.42 24,-935.72 24,3530 9,1299.6 24,2218 11,,
7,4,Be,0.0,3/2-, 15.7689,53.22 d 6 , ε : 100.00 % ,-1.191E+4 3,861.89 7,-160.10 7,10677 5,-10304 8,-9112.07 9,-3.96E+4 20,,5371.548 10,-69.775 10,4111 3,5606.85 7,429.08 10,,
5,2,He,0.0,3/2-, 11.2312,0.60 MeV 2 , n : 100.00 %  α : 100.00 % ,-4.5E+2 5,-2.166E+4 9,-2.268E+4 9,-735 20,,,-2.216E+4 21,-3.36E+4 20,5512 4,-1219 4,1223 14,2.068E+4 10,,,
4,1,H,0.0,2-, 24.6211, , n : 100.00 % ,2.220E+4 10,,,-1.60E+3 10,,,1.62E+3 10,,1720 25,,7.0E+2 8,,310,,
12,8,O,0.0,0+, 31.9146,0.40 MeV 25 , p   ,,14577 24,13555 24,,31915 24,13976 24,,,4890.2 20,-724.9 20,,-3.2E+2 5,,,
9,5,B,0.0,3/2-, 12.4164,0.54 keV 21 , 2α : 100.00 %  p : 100.00 % ,-16494.5 23,1068.0 9,46.0 9,18576.4 14,-12538.4 9,-15818.3 9,-30719 18,,6257.07 10,-144.07 10,5069.6 8,-185.9 9,1500 AP,,
8,4,Be,0.0,0+, 4.9416,5.57 eV 25 , α : 100.00 % ,-17979.9 10,-16004.13 6,-17026.13 6,18898.64 8,-26668.01 10,-28420 8,-3.081E+4 3,-5.85E+4 20,7062.435 4,-215.420 4,8617.06 6,17254.40 4,3030 10,3030 10,
7,3,Li,0.0,3/2-, 14.9071,STABLE,92.41% 4 ,-861.89 7,-11166 8,-12188 8,7251.0898,-3.42E+4 10,-3.43E+4 3,-11539 5,-3.84E+4 20,5606.4390 10,65.5534 10,2609.233 25,9973.96 5,477.612 3,,
13,8,O,0.0,(3/2-), 23.1154,8.58 ms 5 , ε : 100.00 %  εp : 11.30 % ,,17770 10,16748 10,1.687E+4 3,19990 10,15826 10,,,5811.8 7,-231.4 7,3154 14,1512 10,2750 40,,
12,7,N,0.0,1+, 17.3380,11.000 ms 16 , ε : 100.00 % ,-14577 24,17338.1 10,16316.1 10,1.504E+4 5,3968.7 17,1381.4 10,,,6170.11 8,-270.62 8,2514 23,600.3 10,960 12,,
11,6,C,0.0,3/2-, 10.6493,20.364 m 14 , ε : 100.00 % ,-1.365E+4 5,1981.69 6,959.69 6,13120.59 9,-9527.77 25,-9247.06 10,-3.62E+4 4,,6676.456 5,-29.379 5,2800.06 5,8690.18 6,2000.0 4,,
10,5,B,0.0,3+, 12.0506,STABLE,19.9% 7 ,-3648.06 7,-556.88 8,-1578.88 8,8437.2 9,-21002 13,-20193.26 19,-24931.7 21,-39156 18,6475.0830 20,-52.6877 20,1508.5 5,6586.81 8,718.380 11,,
7,2,He,0.0,(3/2)-, 26.0731,150 keV 20 , n   ,11166 8,-2.31E+4 10,-2.41E+4 10,-410 8,,,3915 8,-1.75E+3 5,4123.1 11,-1980.7 11,1472 5,2.31E+4 3,2.92E3 9,,
6,1,H,0.0,(2-), 41.8757,1.6 MeV 4 , n : 100.00 % ,2.43E+4 3,,,-9.E+2 3,,,2.26E+4 3,2.33E+4 3,9.6E+2 4,,9.E+2 5,,,,
16,10,Ne,0.0,0+, 23.9867,9×10-21 s, 2p : 100.00 % ,,13307 22,12285 22,2.430E+4 7,28724 20,13842 20,,,6083.2 13,-310.4 13,4.37E+3 4,-131 25,1690 70,1690 70,
14,8,O,0.0,0+, 8.0077,70.620 s 15 , ε : 100.00 % ,-2.396E+4 4,5144.36 3,4122.37 3,23179 10,4987.89 3,-2406.20 3,,,7052.2778 20,-156.7145 20,4978 5,4626.7 3,5173 10,6590 10,6272 10
12,6,C,0.0,0+, 0.0000,STABLE,98.93% 8 ,-17338.1 10,-13369.4 13,-14391.4 13,18720.71 6,-25077.8 19,-27466.14 24,-3.237E+4 5,-5.49E+4 4,7680.144,-210.98,6887.20 3,15956.680 10,4438.91 31,4438.91 31,9641 5
11,5,B,0.0,3/2-, 8.6677,STABLE,80.1% 7 ,-1981.69 6,-11509.46 24,-12531.46 24,11454.220 20,-32060.6 6,-31674 13,-15102.28 7,-36385.9 21,6927.7319 10,37.7857 10,4042.3 7,11228.75 8,2124.693 27,,
10,4,Be,0.0,0+, 12.6074,1.51×10+6 y 4 , β- : 100.00 % ,556.88 8,-20445 13,-21467 13,6812.28 5,-3.659E+4 9,-3.562E+4 5,-7880.3 9,-26456.7 10,6497.630 8,65.386 8,3155.32 14,19636.39 20,3368.03 3,3368.03 3,7371 1
9,3,Li,0.0,3/2-, 24.9549,178.3 ms 4 , β- : 100.00 % ,13606.45 20,-1.598E+4 5,-1.700E+4 5,4062.22 19,,,11941.91 19,-6956.73 20,5037.768 21,-614.656 21,2044 6,13943.75 21,2691 5,,
8,2,He,0.000,0+, 31.6096,119.1 ms 12 , β- : 100. %  β-n : 16. % ,10663.88 10,,,2535 8,,,8631.26 9,1380.17 9,3924.520 11,-2355.999 11,1895 24,2.48E+4 10,,3.1E+3 5,7.16E+3 4
7,1,H, ,(1/2+), 49.1350,500 ys, 2N?   ,2.31E+4 10,,,0 AP,,,2.35E+4 10,2.18E+4 10,9.4E+2 14,,,,,,
19,12,Mg, ,1/2-, 31.8283,4.0 ps 15 , 2p : 100.00 % ,,1.890E+4 5,1.788E+4 5,,3.008E+4 5,1.922E+4 5,,,5902 3,-352 3,,5.0E+2 11,1.38E3 24,,
18,11,Na,0.0,1-, 25.0379,1.3×10-21 s 4 , p : 100.00 % ,,1.972E+4 9,1.870E+4 9,1.82E+4 10,2.416E+4 9,1.580E+4 9,,,6202 5,-273 5,1.0E+3 5,-1.25E+3 9,0.30E3 11,,
17,10,Ne,0.0,1/2-, 16.5004,109.2 ms 6 , ε : 100.00 %  εp : 100.00 %  εα   ,-1.87E+4 10,14548.7 4,13526.7 4,15558 20,17309.2 3,13948.5 3,,,6640.499 21,-57.207 21,1848 10,1469 8,,,
15,8,O,0.0,1/2-, 2.8556,122.24 s 16 , ε : 100.00 % ,-13711 14,2754.2 5,1732.2 5,13223.5 5,-7017.5 9,-7453.3 5,-3.718E+4 4,,7463.69 3,-150.37 3,1220.2 4,7296.8 5,5183 1,,
14,7,N,0.0,1+, 2.8634,STABLE,99.63 6% 20 ,-5144.36 3,-156.476 4,-1178.474 4,10553.4 3,-20800 21,-20987.5 10,-28323 10,-45194 24,7475.614,-258.401,139.96 14,7550.56,2312.798 11,,
13,6,C,0.0,1/2-, 3.1250,STABLE,1.07% 8 ,-2220.5 3,-13436.9 10,-14458.9 10,4946.31,-30534 10,-29241.7 19,-22284.4 10,-3.732E+4 5,7469.849,-140.74,1615.0547,17533.4 13,3089.443 20,,
12,5,B,0.0,1+, 13.3693,20.20 ms 2 , β- : 100.00 %  β-3α : 1.58 % ,13369.4 13,-11708.4 23,-12730.4 23,3369.6 13,-3.564E+4 3,-34647.8 15,-5351.3 13,-18471.9 13,6631.22 11,-113.06 11,754.6 11,14096.7 13,953.14 60,,
11,4,Be,0.000,1/2+, 20.1771,13.76 s 7 , β- : 100.00 %  β-α : 3.10 %  β-n ?  ,11509.46 24,-20551.1 7,-21573.1 7,501.64 25,,-3.631E+4 9,55.24 24,-8382.0 9,5952.540 22,-262.916 22,1334.5 10,20164 13,320.04 10,,
10,3,Li,0.0,"(1-,2-)", 33.0526, , n : 100.00 % ,20445 13,-1.614E+4 9,-1.717E+4 9,-26 13,,,13633 13,11968 13,4531.4 13,-1301.2 13,211 9,1.517E+4 5,210 40,,
9,2,He,0.0,1/2+, 40.9358, , n : 100.00 % ,1.598E+4 5,,,-1.25E+3 5,,,1.192E+4 5,9.89E+3 5,3349 5,-3327 5,5.3E+2 6,,1.1E3 AP,,
21,13,Al,0.0,(5/2+), 26.9900,< 35 ns, p   ,,1.61E+4 6,1.51E+4 6,,2.92E+4 6,1.29E+4 6,,,6.30E+3 3,-3.0E+2 3,,-2.2E+3 6,,,
20,12,Mg,0.0,0+, 17.4776,90.8 ms 24 , ε : 100.00 %  εp ≈ 27.00 % ,,10627.1 22,9605.1 22,2.242E+4 5,24519.6 19,8436.7 19,,,6728.02 9,-118.89 9,3.89E+3 3,2741 11,1598 10,1598 10,
19,11,Na,0.0,(5/2+), 12.9293,< 40 ns, p   ,-1.890E+4 5,11177 11,10155 11,2.018E+4 9,14417 11,4767 11,,,6937.9 6,-36.5 6,3.01E+3 5,-323 11,120 10,,
18,10,Ne,0.0,0+, 5.3176,1.6670 s 17 , ε : 100.00 % ,-1.972E+4 9,4444.5 6,3422.5 6,19254.2 5,6100.4 4,-1162.6 4,-3.79E+4 10,,7341.257 20,84.430 20,3808.6 3,3923.1 4,1887.3 2,1887.3 2,
17,9,F,0.0,5/2+, 1.9517,64.49 s 16 , ε : 100.00 % ,-14548.7 4,2760.47 25,1738.47 25,16800 8,-5918 15,-11021.2 23,-30106 20,-5.441E+4 7,7542.328 15,-7.921 15,3825 4,600.27 25,495.33 10,,
16,8,O,0.0,0+, -4.7370,STABLE,99.757% 16 ,-15417 8,-10420.9 23,-11442.9 23,15663.9 5,-18431 4,-21899.1 8,-29375 14,-5.284E+4 4,7976.206,-118.675,5760.42 25,12127.41,6049.4 10,6917.1 6,6129.89 4
15,7,N,0.0,1/2-, 0.1014,STABLE,0.364% 20 ,-2754.2 5,-9771.7 8,-10793.7 8,10833.3,-28857 21,-30851 21,-15977.66 3,-39157 10,7699.46,-98.979,4172.2 12,10207.42,5270.155 14,,
14,6,C,0.0,0+, 3.0198,5700 y 30 , β- : 100.00 % ,156.476 4,-20644 21,-21666 21,8176.43,-3.693E+4 13,-37928 10,-10396.9 3,-30460.8 10,7520.319,-37.0669,3479.2 4,20831.0 10,6093.8 2,7012 4,6728.2 13
12,4,Be,0.000,0+, 25.0777,21.47 ms 4 , β- : 100.00 %  β-n : 0.50 % ,11708.4 23,-2.393E+4 3,-2.495E+4 3,3170.7 19,,,8338.7 19,-3115.5 19,5720.72 16,-318.06 16,1840 5,22939.5 20,2102 12,2102 12,
11,3,Li,0.0,3/2-, 40.7282,8.75 ms 14 , β- : 100.00 %  β-n : 86.60 %  β-2n : 4.20 %  β-3n : 1.90 %  β-nα : 0.03 % ,20551.1 7,,,396 13,,,20049.4 6,13237.2 6,4155.38 6,-1335.98 6,303 16,1.576E+4 9,1266 42,,
10,2,He,0.0,0+, 49.1971,300 keV 200 , n : 100.00 % ,1.614E+4 9,,,-1.9E+2 10,,,1.617E+4 9,1.211E+4 9,2995 9,-3474 9,,,32.4E2 20,32.4E2 20,6800 70
23,14,Si,0.0,(5/2)+, 23.6970,42.3 ms 4 , ε : 100.00 %  εp : 71.00 %  ε2p : 3.60 % ,,1.69E+4 5,1.59E+4 5,1.77E+4 7,2.92E+4 5,1.68E+4 5,,,6565 22,-216 22,1.6E+3 4,1.8E+3 6,,,
21,12,Mg,0.0,5/2+, 10.9038,122 ms 3 3 , ε : 100.00 %  εp : 32.60 %  εα < 0.50 % ,-1.61E+4 6,13088.5 8,12066.5 8,14645.2 20,16635.6 8,10656.8 8,,,7105.03 4,43.16 4,2365.0 11,3235.7 14,201 4,,
20,11,Na,0.0,2+, 6.8506,447.9 ms 23 , ε : 100.00 %  εα : 20.10 % ,-10627.1 22,13892.5 11,12870.5 11,14150 11,6868.1 11,1049.1 11,-3.305E+4 5,,7298.50 6,34.07 6,1478 5,2190.4 11,596 8,,
19,10,Ne,0.0,1/2+, 1.7520,17.22 s 2 , ε : 100.00 % ,-11177 11,3239.49 16,2217.50 16,11636.9 4,-1581 3,-4754.10 16,-3.136E+4 9,-4.96E+4 10,7567.343 8,142.330 8,2614.20 21,6410.0 5,238.27 11,,
18,9,F,0.0,1+, 0.8731,109.77 m 5 , ε : 100.00 % ,-4444.5 6,1655.9 5,633.9 5,9149.9 5,-12240 19,-14286 15,-23698.7 6,-39256 20,7631.64 3,45.56 3,641.0 4,5607.1 5,937.20 6,,
17,8,O,0.0,5/2+, -0.8087,STABLE,0.038% 1 ,-2760.47 25,-8679 15,-9701 15,4143.0801,-21841 17,-21792 4,-19560 8,-33518 14,7750.728,59.109,1951.148,13781.6 23,870.73 10,,
15,6,C,0.0,1/2+, 9.8731,2.449 s 5 , β- : 100.00 % ,9771.7 8,-19085 21,-20107 21,1218.1 8,-3.995E+4 17,-3.737E+4 13,-1061.6 8,-11615.0 8,7100.17 5,-77.07 5,1516.1 19,21080 21,740.0 15,,
14,5,B,0.000,2-, 23.6636,12.36 ms 29 , β- : 100.00 %  β-n : 6.04 % ,20644 21,-1.629E+4 13,-1.731E+4 13,970 21,,-4.061E+4 7,12467 21,7521 21,6101.6 15,-277.7 15,904 18,17284 24,740 40,,
13,4,Be,0.0,(1/2-), 33.6590,2.7×10-21 s 18 , n   ,17097 10,-2.332E+4 7,-2.434E+4 7,-510 10,,,12218 10,8849 10,5241.4 8,-749.1 8,1.14E+3 7,2.264E+4 3,,,
12,3,Li, , , 49.0095,< 10 ns, n ?  ,2.393E+4 3,,,-2.1E+2 3,,,2.076E+4 3,2.026E+4 3,3792 3,-2025 3,1.5E+2 4,,,,
26,16,S,0.0,0+, 27.0790,< 79 ns, 2P?   ,,1.61E+4 6,1.51E+4 6,,3.42E+4 6,1.60E+4 6,,,6548 23,-235 23,,0 AP,,,
25,15,P,0.0,(1/2+), 19.7380,< 30 ns, p : 100.00 % ,,1.59E+4 4,1.49E+4 4,2.17E+4 6,2.87E+4 4,1.25E+4 4,,,6812 16,-186 16,2.4E+3 4,-1.7E+3 4,,,
24,14,Si,0.0,0+, 10.7451,140.5 ms 15 , ε : 100.00 %  εp : 45.00 % ,-2.26E+4 5,10794 19,9772 19,2.10E+4 5,24679 19,8930 19,,,7167.2 8,-59.3 8,3.0E+3 3,3292 19,1879 11,1879 11,
23,13,Al,0.0,5/2+, 6.7480,0.47 s 3 , ε : 100.00 %  εp : 0.46 % ,-1.69E+4 5,12221.6 4,11199.6 4,1.95E+4 4,16277.9 3,4640.6 4,-3.47E+4 5,,7335.727 15,8.174 15,2.32E+3 20,141.0 5,550 20,,
22,12,Mg,0.0,0+, -0.3999,3.8755 s 1 , ε : 100.00 % ,-1.86E+4 4,4781.6 3,3759.6 3,19375.1 8,7624.8 3,-1957.1 3,-3.55E+4 6,,7662.761 14,88.186 14,3115.1 4,5504.3 3,1247.02 3,1247.02 3,6766 12
20,10,Ne,0.0,0+, -7.0419,STABLE,90.48% 3 ,-13892.5 11,-7024.47 3,-8046.46 3,16865.30 16,-10838.1 9,-17664 3,-28043 11,-4.822E+4 9,8032.24,80.428,5052.07 8,12843.46,1633.674 15,1633.674 15,5621.4 17
18,8,O,0.0,0+, -0.7828,STABLE,0.205% 14 ,-1655.9 5,-13896 19,-14918 19,8045.37,-2.570E+4 3,-29104 17,-10805.83 25,-27606 8,7767.0972,199.0524,2044.9 13,15942 15,1982.07 9,1982.07 9,5097.78 54
17,7,N,0.0,1/2-, 7.8700,4171 ms 4 , β- : 100.00 %  β-n : 95.10 %  β-α : 0.00 % ,8679 15,-13162 23,-14184 23,5885 15,-3.585E+4 20,-3.653E+4 3,4536 15,-11128 15,7286.2 9,123.4 9,1528 14,13113 15,1373.9 3,,
16,6,C,0.0,0+, 13.6941,0.747 s 8 , β- : 100.00 %  β-n : 99.20 % ,8010 4,-23418 25,-24440 25,4250 4,-4.375E+4 17,-4.342E+4 17,5521 4,-5312 4,6922.05 22,-25.09 22,1758 9,22553 21,1766 10,1766 10,
15,5,B,0.000, , 28.9582,10.18 ms 3 , β- : 100.00 %  β-n : 99.60 %  β-2n < 1.50 % ,19085 21,-2.087E+4 17,-2.189E+4 17,2.78E+3 3,,,17867 21,9691 21,5880.0 14,-298.8 14,1430 22,1.829E+4 13,,,
14,4,Be,0.000,0+, 39.9544,4.35 ms 17 , β- : 100.00 %  β-n : 86.00 %  β-2n : 5.00 %  β-3n ? 0.00 %  β-α ?  ,1.629E+4 13,,,1.78E+3 13,,,1.532E+4 13,1.044E+4 13,4994 9,-885 9,1.79E+3 13,2.432E+4 15,,,
13,3,Li, , , 56.9808, ,  ,2.332E+4 7,,,1.0E+2 8,,,2.383E+4 7,2.066E+4 7,3508 5,-2153 5,,,,,
28,17,Cl,0.0,(1+), 27.5160, , P?   ,,2.34E+4 6,2.24E+4 6,,3.47E+4 6,2.10E+4 6,,,6614 21,-218 21,,-3.2E+3 7,,,
27,16,S,0.0,(5/2+), 17.0280,15.5 ms 15 , ε : 100.00 %  εp : 2.30 %  ε2p : 1.10 % ,,1.78E+4 4,1.67E+4 4,1.81E+4 7,2.94E+4 4,1.69E+4 4,,,6977 15,-128 15,1.4E+3 4,1.2E+3 4,,,
26,15,P,0.0,(3+), 10.9730,43.7 ms 6 , ε : 100.00 %  εp : 36.80 %  E2 p 2.16 % ,-1.61E+4 6,1.811E+4 20,1.709E+4 20,1.68E+4 4,2.318E+4 20,1.260E+4 20,,,7198 8,-98 8,1.46E+3 25,0 AP,164.4 1,,
25,14,Si,0.0,5/2+, 3.8273,220 ms 3 , ε : 100.00 %  εp : 35.00 % ,-1.59E+4 4,12743 10,11721 10,14989 22,17020 10,10472 10,-3.76E+4 5,,7480.1 4,21.5 4,2025 12,3413 10,40 5,,
23,12,Mg,0.0,3/2+, -5.4735,11.317 s 11 , ε : 100.00 % ,-12221.6 4,4056.34 16,3034.34 16,13144.9 3,-319.46 19,-4737.76 16,-3.17E+4 4,-4.86E+4 6,7901.115 7,64.904 7,1693.23 19,7580.97 23,450.71 15,,
22,11,Na,0.0,3+, -5.1815,2.6018 y 22 , ε : 100.00 % ,-4781.6 3,2843.21 17,1821.21 17,11068.20 20,-7975 12,-12422.9 18,-24156.7 8,-38801.8 19,7915.667 8,54.278 8,675.74 14,6738.71 18,583.05 10,,
20,9,F,0.0,2+, -0.0174,11.07 s 6 , β- : 100.00 % ,7024.47 3,-3813.6 9,-4835.6 9,6601.34 3,-2.178E+4 8,-23163 16,-9840.83 16,-21477.7 4,7720.1338 20,134.2475 20,750.1 9,10639 3,656.02 3,,
19,8,O,0.0,5/2+, 3.3328,26.88 s 5 , β- : 100.00 % ,4820 3,-12523 17,-13545 17,3956 3,-2.908E+4 10,-2.888E+4 3,-5612 3,-14761 3,7566.50 14,131.07 14,1826.2 19,17069 19,96.0 5,,
18,7,N,0.0,1-, 13.1131,619 ms 2 , β- : 100.00 %  β-α : 12.20 %  β-n : 10.90 %  β-2n ?  ,13896 19,-1.181E+4 4,-1.283E+4 4,2828 24,-3.868E+4 21,-3.789E+4 20,5851 19,1708 19,7038.6 10,-28.5 10,1250 17,1.521E+4 3,114.90 18,,
17,6,C,0.0,3/2+, 21.0318,191 ms 6 , β- : 100.00 %  β-n : 28.40 %  β-2n ?  ,13162 23,-2.268E+4 20,-2.371E+4 20,734 18,,-4.370E+4 17,7277 18,4788 17,6558.0 10,-224.4 10,1725 19,2.337E+4 3,295 10,,
16,5,B,0.0,0-, 37.1125,< 190 ps, n   ,23418 25,-2.033E+4 17,-2.136E+4 17,-83 15,,,19168 25,17950 25,5507.3 15,-615.2 15,7.8E+2 10,2.000E+4 17,2.32E3,,
15,4,Be, ,(5/2+), 49.8258,0.58 MeV 20 , n : 100.00 % ,2.087E+4 17,,,-1.80E+3 10,,,1.809E+4 17,1.712E+4 17,4541 11,-1266 11,1.13E+3 16,,,,
30,18,Ar,0.0,0+, 20.9311, , p ?  ,,1.65E+4 3,1.55E+4 3,,3.499E+4 21,1.680E+4 21,,,6904 7,-138 7,,-4.8E+2 16,0.7E3,0.7E3,
29,17,Cl,0.0,(3/2+), 13.1621,< 20 ns, p   ,,1.632E+4 20,1.530E+4 20,2.24E+4 6,3.012E+4 19,1.302E+4 19,,,7159 7,-127 7,2.8E+3 3,-1.80E+3 10,0.5E3,,
28,16,S,0.0,0+, 4.0732,125 ms 10 , ε : 100.00 %  εp : 20.70 % ,-2.34E+4 6,1.122E+4 16,1.020E+4 16,2.10E+4 4,2.557E+4 16,9.17E+3 16,,,7479 6,-49 6,2.86E+3 23,2.49E+3 16,1507 7,1507 7,
27,15,P,0.0,1/2+, -0.7224,260 ms 80 , ε : 100.00 %  εp : 0.07 % ,-1.77E+4 4,1.166E+4 3,1.064E+4 3,1.977E+4 20,1.647E+4 3,4.20E+3 3,-3.59E+4 6,,7663.4 10,-33.3 10,2.63E+3 11,8.7E+2 3,1120 8,,
26,14,Si,0.0,0+, -7.1410,2.2453 s 7 , ε : 100.00 % ,-1.811E+4 20,5069.14 9,4047.14 9,19040 10,9073.53 11,-1237.20 10,-3.50E+4 4,-5.66E+4 5,7924.708 4,39.575 4,2862 5,5514.01 11,1797.30 10,1797.30 10,6787 4
25,13,Al,0.0,5/2+, -8.9159,7.183 s 12 , ε : 100.00 % ,-12743 10,4276.81 5,3254.81 5,16938.43 24,441.8 12,-7787.04 7,-27732 19,-4.88E+4 5,8021.136 3,39.461 3,2786.48 14,2271.38 7,451.7 5,,
24,12,Mg,0.0,0+, -13.9335,STABLE,78.99% 4 ,-13884.70 23,-5515.669 21,-6537.667 21,16531.37 16,-7981.9 5,-16068.49 11,-28753.0 3,-4.83E+4 4,8260.7090 10,24.6781 10,4600.41 9,11692.690 10,1368.672 5,1368.672 5,7616.47 4
23,11,Na,0.0,3/2+, -9.5298,STABLE,100%,-4056.34 16,-4375.80 10,-5397.80 10,12419.66 17,-1.282E+4 3,-19612 12,-17201.2 3,-36576.3 8,8111.493,103.556,2730.16 9,8794.100 20,439.990 9,,
22,10,Ne,0.0,0+, -8.0247,STABLE,9.25% 3 ,-2843.21 17,-10818 12,-11840 12,10364.26 4,-1.731E+4 6,-23376 12,-13911.40 10,-31018.0 11,8080.4648 10,175.9773 10,2581.79 6,15266.1 18,1274.537 7,1274.537 7,5910.1 9
21,9,F,0.0,5/2+, -0.0476,4.158 s 20 , β- : 100.00 % ,5684.2 18,-8110 12,-9132 12,8101.5 18,-2.528E+4 13,-2.910E+4 8,-1077.0 18,-17942.3 18,7738.29 9,179.99 9,1436 6,11132.8 20,279.93 6,,
19,7,N,0.0, , 15.8562,336 ms 3 , β- : 100.00 %  β-n : 41.80 %  β-2n ?  ,12523 17,-1.656E+4 10,-1.758E+4 10,5328 25,-4.39E+4 5,-4.323E+4 20,8568 16,522 16,6948.5 9,-71.4 9,1.58E+3 4,1.635E+4 3,,,
18,6,C,0.0,0+, 24.9192,92 ms 2 , β- : 100.00 %  β-n : 22.00 %  β-3n ?   β-2n ?  ,1.181E+4 4,-2.687E+4 21,-2.790E+4 21,4.18E+3 3,,,8.98E+3 3,3.09E+3 3,6426.1 17,-334.8 17,1.80E+3 5,2.609E+4 21,1620 20,1620 20,
17,5,B,0.0,(3/2-), 43.7163,5.08 ms 5 , β- : 100.00 %  β-n : 63.00 %  β-2n : 12.00 %  β-3n : 3.50 % ,2.268E+4 20,,,1.47E+3 21,,,2.195E+4 20,1.770E+4 20,5270 12,-688 12,7.4E+2 18,2.10E+4 3,,,
16,4,Be, ,0+, 57.4471,0.8 MeV 2 , n : 100.00 % ,2.033E+4 17,,,4.5E+2 14,,,2.042E+4 17,1.764E+4 17,4285 10,-1394 10,,,,,
32,19,K,0.0, , 21.0980, , p ?  ,,2.33E+4 4,2.23E+4 4,,3.44E+4 4,2.08E+4 4,,,6947 13,-148 13,,-2.5E+3 4,,,
